"filename", "language", "Python", "Markdown", "JSON", "pip requirements", "JavaScript", "JavaScript JSX", "CSS", "HTML", "comment", "blank", "total"
"/Users/amanpanwar/Desktop/Misc/PaperlessWorkflow_IITH/server/Model/database_manager.py", "Python", 40, 0, 0, 0, 0, 0, 0, 0, 29, 9, 78
"/Users/amanpanwar/Desktop/Misc/PaperlessWorkflow_IITH/server/Model/email_manager.py", "Python", 71, 0, 0, 0, 0, 0, 0, 0, 10, 15, 96
"/Users/amanpanwar/Desktop/Misc/PaperlessWorkflow_IITH/server/Model/fields.py", "Python", 49, 0, 0, 0, 0, 0, 0, 0, 43, 9, 101
"/Users/amanpanwar/Desktop/Misc/PaperlessWorkflow_IITH/server/Model/form.py", "Python", 88, 0, 0, 0, 0, 0, 0, 0, 92, 24, 204
"/Users/amanpanwar/Desktop/Misc/PaperlessWorkflow_IITH/server/Model/formMetaData.py", "Python", 40, 0, 0, 0, 0, 0, 0, 0, 17, 9, 66
"/Users/amanpanwar/Desktop/Misc/PaperlessWorkflow_IITH/server/Model/forminfo.json", "JSON", 0, 0, 24, 0, 0, 0, 0, 0, 0, 2, 26
"/Users/amanpanwar/Desktop/Misc/PaperlessWorkflow_IITH/server/Model/level.py", "Python", 32, 0, 0, 0, 0, 0, 0, 0, 9, 4, 45
"/Users/amanpanwar/Desktop/Misc/PaperlessWorkflow_IITH/server/Model/user.py", "Python", 59, 0, 0, 0, 0, 0, 0, 0, 24, 12, 95
"/Users/amanpanwar/Desktop/Misc/PaperlessWorkflow_IITH/server/Model/util.py", "Python", 57, 0, 0, 0, 0, 0, 0, 0, 2, 4, 63
"/Users/amanpanwar/Desktop/Misc/PaperlessWorkflow_IITH/server/app.py", "Python", 15, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"/Users/amanpanwar/Desktop/Misc/PaperlessWorkflow_IITH/server/demo.py", "Python", 19, 0, 0, 0, 0, 0, 0, 0, 0, 6, 25
"/Users/amanpanwar/Desktop/Misc/PaperlessWorkflow_IITH/server/fetch_user.py", "Python", 14, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19
"/Users/amanpanwar/Desktop/Misc/PaperlessWorkflow_IITH/server/formSubmit.py", "Python", 19, 0, 0, 0, 0, 0, 0, 0, 0, 8, 27
"/Users/amanpanwar/Desktop/Misc/PaperlessWorkflow_IITH/server/router.py", "Python", 57, 0, 0, 0, 0, 0, 0, 0, 0, 7, 64
"/Users/amanpanwar/Desktop/Misc/PaperlessWorkflow_IITH/server/test_caller.py", "Python", 175, 0, 0, 0, 0, 0, 0, 0, 35, 28, 238
"Total", "-", 918, 49, 18273, 32, 530, 895, 26, 17, 458, 382, 21580
